Code,Faculty,Students
1,Institute of Fundamental Medicine and Biology,1705
2,Institute of Environmental Sciences,498
3,Institute of Geology and Petroleum Technologies,769
4,"Institute of International Relations, History and Oriental Studies",2805
5,Lobachevsky Institute of Mathematics and Mechanics,455
6,Institute of Physics,887
7,Alexander Butlerov Institute of Chemistry,470
8,Faculty of Law,2124
9,Institute of Computational Mathematics and Information Technologies,1145
10,Leo Tolstoy Institute of Philology and Intercultural Communication,2550
11,Higher School of Information Technologies and Information Systems,501
12,Higher School of Business,168
13,Institute of Social and Philosophical Sciences and Mass Communications,1365
14,"Institute of Management, Economics and Finance",4781
15,Yelabuga Institute,3330
16,Institute of Engineering,238
17,Institute of Psychology and Education,2273
18,Naberezhnye Chelny Institute,5838
